Quarter ,Median Price in Melbourne,Median Price outside Melbourne
Mar-2005,310.0,210.0
Jun-2005,320.0,205.0
Sep-2005,320.0,210.0
Dec-2005,332.0,220.0
Mar-2006,330.0,224.0
Jun-2006,345.0,220.0
Sep-2006,346.0,222.0
Dec-2006,360.0,230.0
Mar-2007,345.0,230.0
Jun-2007,362.0,230.0
Sep-2007,370.0,233.5
Dec-2007,410.0,245.0
Mar-2008,385.0,243.5
Jun-2008,400.0,239.0
Sep-2008,385.0,235.0
Dec-2008,385.0,236.0
Mar-2009,375.0,238.0
Jun-2009,400.0,245.0
Sep-2009,422.0,250.0
Dec-2009,477.5,266.5
Mar-2010,468.0,275.0
Jun-2010,500.0,278.2
Sep-2010,488.3,280.0
Dec-2010,520.0,292.5
Mar-2011,485.0,293.0
Jun-2011,502.5,295.0
Sep-2011,487.0,286.5
Dec-2011,495.0,290.5
Mar-2012,478.0,297.5
Jun-2012,485.0,285.0
Sep-2012,480.0,290.0
Dec-2012,508.0,291.5
Mar-2013,486.0,298.0
Jun-2013,500.0,282.5
Sep-2013,520.0,298.0
Dec-2013,561.0,308.0
Mar-2014,504.0,290.0
Jun-2014,528.9,286.0
Sep-2014,505.0,280.0
Dec-2014,552.5,298.0
Mar-2015,525.0,299.0
Jun-2015,561.0,295.0
Sep-2015,580.0,295.6
Dec-2015,612.3,310.0
Mar-2016,568.0,311.0
Jun-2016,610.0,305.0
Sep-2016,605.0,310.0
Dec-2016,675.0,320.8
Mar-2017,657.5,328.0
Jun-2017,720.0,332.0
Sep-2017,692.0,328.0
Dec-2017,750.0,350.0
Mar-2018,731.0,355.0
Jun-2018,750.0,355.0
Sep-2018,720.0,355.0
Dec-2018,735.0,370.0
Mar-2019,685.0,370.0
Jun-2019,700.0,370.0
Sep-2019,705.0,375.0
Dec-2019,760.0,390.0
Mar-2020,730.0,390.0
Jun-2020,720.0,395.0
Sep-2020,710.0,410.0
Dec-2020,760.0,439.0
Mar-2021,800.0,455.0
Jun-2021,830.0,478.5
Sep-2021,840.0,500.0
Dec-2021,940.0,553.0
Mar-2022,888.0,580.0
Jun-2022,900.0,573.1
Sep-2022,850.0,560.0
Dec-2022,875.0,570.0
Mar-2023,835.0,570.0
Jun-2023,842.0,570.0
Sep-2023,840.0,570.0
Dec-2023,868.0,580.0
Mar-2024,845.0,575.0
Jun-2024,845.1,570.0
Sep-2024,825.0,556.5
Dec-2024,852.5,560.0
Mar-2025,840.0,572.0
Jun-2025,820.0,570.0
